Q216344,Arlington National Cemetery,landmark,2
Q54109,United States Capitol,landmark,5
Q668710,Washington National Cathedral,landmark,4
Q3570,Union Station,building,3
Q35525,White House,building,5
Q6970416,National Archives Building,landmark,2
Q178114,Washington Monument,monument,5
Q1419538,Watergate complex,landmark,2
Q1631981,John F. Kennedy Center for the Performing Arts,theatre,2
Q11201,Supreme Court of the United States,landmark,3
Q3073495,National Museum of African American History and Culture,museum,4
Q213559,Lincoln Memorial,monument,5
Q708847,Korean War Veterans Memorial,monument,2
Q713628,Vietnam Veterans Memorial,monument,2
Q517545,Nationals Park,stadium,4
Q1416812,Fords Theatre,theatre,3
Q326183,Jefferson Memorial,monument,4
Q223240,Capital One Arena,stadium,3
Q131454,Library of Congress,museum,4
Q82387,Basilica of the National Shrine of the Immaculate Conception,landmark,2
Q1438734,Fort Stevens,landmark,3
Q1420909,President Lincoln's Cottage,landmark,3
Q1068752,Howard University,university,4
Q333886,Georgetown University,university,3
Q216344,The Pentagon,building,4
Q11208,Arlington National Cemetery,landmark,4
Q752669,Air and Space Museum,museum,3
Q1075141,National Museum of the American Indian,museum,3
Q148584,National Museum of American History,museum,3
Q148554,National Museum of Natural History,museum,2
Q214867,National Gallery of Art,museum,2